words,values
gelato,3.84
capra,3.52
vescovo,8.48
ridere,4.0
scrupolo,9.68
attico,8.32
zaino,4.68
scrittore,7.52
migliorare,6.48
gazza,6.833333333333333
aragosta,7.84
sciocco,6.48
crema,4.72
grazioso,8.92
leggenda,6.04
pulire,5.28
orrore,7.72
giornale,5.08
scodella,6.6
uscire,4.28
debole,5.52
sacerdote,6.44
sede,9.333333333333334
motoscafo,8.4
umano,6.12
fiamma,5.0
garage,5.04
deforme,9.24
piccolo,4.12
sentiero,7.64
mestolo,5.88
moneta,5.12
piazza,5.24
urna,8.416666666666666
massacro,10.0
sorpresa,5.68
festa,4.92
sporco,4.72
leone,3.8
osceno,9.44
bordo,6.4
progresso,8.92
stupefatto,10.68
sculacciata,4.92
cieco,5.96
regina,4.84
trauma,8.68
catapecchia,9.52
abbraccio,4.2
infornare,6.72
rancido,12.875
drago,4.04
calvario,9.04
tappo,4.76
guarire,5.28
palco,5.96
mobilità,10.84
cancello,5.16
ombelico,3.88
entusiasmo,8.44
tizio,8.04
asfalto,7.4
mancia,9.76
battello,7.708333333333333
voglia,6.56
amore,6.32
detestare,8.0
cereale,4.96
quadro,4.96
pelliccia,7.56
rispettoso,7.96
cioccolata,4.0
ciuccio,2.96
cesto,5.84
corridore,10.28
caparra,11.0
zona,7.44
calza,4.8
dollaro,8.48
bibita,4.56
zucca,5.16
pinza,6.44
obbedire,5.16
bara,7.68
lettera,5.12
gelsomino,8.08
pollice,4.72
cratere,9.84
raffica,8.52
ferita,4.2
gentilezza,6.32
lapide,10.32
polpetta,3.92
fucile,6.68
candeline,3.2
revolver,11.84
tempo,4.96
simbolo,6.6
affetto,6.12
sapone,4.0
termometro,5.48
abitante,7.76
esecuzione,10.52
ringhiera,5.4
bollitore,7.64
impaurito,6.48
debito,10.2
blatta,12.45
abitudine,7.28
tregua,8.88
scarpa,4.28
dentista,5.36
custode,7.92
cornamusa,9.12
gioco,3.28
neonato,5.8
ponte,5.0
leale,9.08
ulivo,6.32
tradire,9.68
batuffolo,7.4
mamma,1.88
cresta,6.84
parola,4.44
pannocchia,6.32
nevrotico,13.32
film,4.64
impressionato,7.72
angelo,5.12
pavone,6.76
trovare,4.24
persona,3.52
scrivere,4.76
palato,6.4
indumento,5.84
catrame,10.0
zanzara,4.68
dono,5.28
inquieto,9.2
grembiule,4.84
frase,5.44
muro,4.08
minestra,4.12
invasore,8.2
rapinatore,7.72
bar,5.16
salvare,6.12
oceano,5.92
divorzio,10.36
bambola,3.0
calamita,6.6
vincere,4.52
figlio,3.92
asso,8.24
impeto,12.0
pecora,3.28
vela,5.76
cera,6.92
gente,5.88
piombo,9.88
inquilino,10.76
mestiere,6.48
innocente,7.08
sporcizia,6.4
rispetto,7.84
buono,3.48
elemento,7.88
solitudine,8.52
tiranno,9.28
risultato,6.52
materasso,5.44
bancarotta,11.36
farabutto,9.72
guaio,4.8
paziente,8.56
stampella,6.72
tram,7.64
tucano,9.391304347826088
abbaglio,9.36
letame,7.88
primavera,4.28
fantasma,5.76
spirito,7.4
gatto,2.56
vasino,2.56
spaventato,6.52
povero,5.48
vecchio,5.44
bavaglino,4.36
mal di denti,6.52
puntura,4.48
giglio,7.2
alieno,6.84
libreria,5.44
scirocco,8.12
labirinto,6.84
asilo,3.12
collisione,9.44
cascata,6.52
ignoranza,8.2
pino,6.04
danneggiare,7.88
lavoro,6.28
malato,4.36
albero,3.56
secchiello,3.64
malanno,7.36
spazio,5.76
poster,7.72
cedro,8.666666666666666
giocattolo,3.2
eccellenza,8.28
stupito,8.68
principio,8.84
ginestra,9.84
soldato,6.68
aprire,3.92
portico,8.64
borsa,4.28
turbato,8.24
camomilla,6.32
sedano,8.64
norma,9.72
apecar,10.555555555555555
negozio,4.24
coccolare,6.04
incubo,5.92
mulo,6.16
labbra,4.76
torre,5.28
cuscino,3.48
nebbia,5.6
campanile,6.56
altalena,3.8
nocciolina,5.72
incoraggiare,8.36
insetto,6.36
libero,5.92
beatitudine,9.28
teglia,7.44
arrabbiato,5.04
solenne,10.88
marmellata,5.0
arma,5.76
putrido,10.956521739130435
pregio,7.76
fallimento,9.56
obesità,10.4
decomporsi,9.04
canottiera,4.44
negligenza,11.166666666666666
freezer,5.72
magnifico,6.44
foca,4.08
falce,9.4
metodo,9.52
pensieroso,8.0
merce,8.08
tenero,4.96
cantare,4.12
denaro,5.56
caraffa,8.88
crudele,8.56
battesimo,5.28
accordo,7.96
lesbica,10.56
salice,8.4
flanella,10.2
strage,7.36
coca cola,4.72
picco,8.16
bidè,4.28
dominante,9.2
dentifricio,4.16
riconoscente,8.24
febbre,3.44
pepe,6.2
istruzione,6.36
aquila,4.36
biberon,2.8
hotel,5.96
collera,8.4
vergognato,5.84
scorbuto,11.08695652173913
cortesia,7.56
dramma,9.96
piangere,3.6
sorella,2.8
schiavo,8.16
aspettare,4.48
tatto,7.0
litigare,4.52
egoista,8.6
carriera,10.0
colombo,5.375
globo,8.0
vicenda,7.56
vino,6.12
demonio,7.76
vulcano,6.56
carretto,6.88
forcina,8.44
sesso,10.32
odio,6.8
nuotatore,5.4
epoca,8.64
ambizione,8.48
riso,5.68
fionda,7.2
obitorio,10.44
perso,4.72
malvagio,5.64
rinoceronte,6.76
fortunato,5.96
bastardo,9.32
cronaca,9.84
pontefice,8.64
deludere,8.0
taverna,9.2
plastilina,4.5
rapporto sessuale,12.32
colore,4.2
passaggio,7.64
vacanza,4.96
idiota,6.8
rinfresco,8.76
metallo,8.2
appetitoso,7.24
bava,6.24
casinò,9.48
carcassa,9.28
coperta,4.04
ricatto,8.04
autunno,4.76
taglio,6.2
guardia,5.88
carosello,9.16
lucchetto,6.2
fumo,7.04
valvola,9.92
muscoloso,6.48
re,4.24
orso,4.48
flauto,6.36
gentile,6.92
indifeso,8.24
dolore,5.24
trionfante,8.12
libro,4.2
rotto,4.88
giovane,6.44
rivoltella,11.391304347826088
taxi,8.48
soleggiato,6.36
clero,10.958333333333334
mistico,10.96
scherzo,4.8
gomma,4.68
intruso,7.4
matita,3.56
scienza,7.04
dispetto,4.88
asciugacapelli,5.8
melma,9.44
vigliacco,8.44
peccato,7.56
pettinare,4.08
categoria,9.64
lepre,5.0
occhiali,5.64
maiale,4.2
panico,9.0
straccio,6.48
toro,5.08
lardo,7.48
conoscenza,6.64
cupola,9.76
giorno,3.8
alto,4.04
nonno,2.88
orribile,7.64
bandiera,4.96
fetido,10.0
nuvola,3.68
faccenda,6.88
lento,4.92
canapa,10.04
autostrada,8.08
giradischi,8.32
cisterna,8.48
orchidea,7.2
cielo,3.92
scoria,10.16
matrimonio,5.96
rondine,4.52
amico,3.96
parte,7.52
cucciolo,4.12
provincia,7.76
distruzione,8.64
sughero,8.08
tennis,7.4
casco,5.24
tigre,5.08
gloria,8.12
patatina,4.32
stanza,4.12
caldo,3.88
spazzare,6.52
dose,11.36
serio,6.8
affogare,5.92
gita,6.84
ficcanaso,9.12
disprezzare,7.32
silenzioso,5.28
fetore,8.4
astio,8.958333333333334
residuo,8.16
mummia,6.8
perla,6.52
gioviale,10.041666666666666
colpire,5.28
brodo,4.48
atrio,8.04
investire,7.92
aspro,6.04
cocomero,5.72
strillare,5.12
promozione,8.68
formica,3.92
mongolfiera,6.4
animale,3.24
passeggino,3.4
aula,5.96
ruga,9.12
godimento,11.08
miele,4.32
lotta,6.88
sconfitto,7.64
giarrettiera,11.04
pacco,5.12
femminuccia,4.24
arnese,10.8
regalare,4.76
mandorla,6.28
mulino,6.32
allegro,4.16
ghiro,6.84
mattina,4.08
usignolo,7.04
pancia,4.92
germe,8.88
aurora,7.72
binocolo,6.48
villetta,7.2
elefante,4.04
manzo,7.28
arrogante,7.88
sergente,10.28
virtù,9.52
sontuoso,10.32
sputare,5.44
grandine,5.0
porta,4.64
disinvolto,9.0
coniglietto,3.48
gru,7.8
bruciatura,6.04
signore,5.16
infatuazione,11.88
ragazzo,5.24
orchestra,7.4
zebra,4.44
spensierato,8.16
fanale,10.28
mercato,6.12
tubo,5.12
spiedo,9.4
picchio,7.24
triste,5.68
cipolla,5.92
tromba,5.08
emicrania,11.44
prefetto,9.64
ristorante,5.88
decorare,6.0
antenna,6.76
fontana,4.6
righello,4.84
suicidio,10.16
fratello,3.08
ricco,6.666666666666667
restare,5.52
vetro,5.32
lingua,4.25
volpe,4.32
sprezzante,12.875
radioso,10.08
cintura,5.2
biondo,5.08
bebè,4.24
romanzo,8.04
ribelle,7.8
viaggio,6.52
spaghetti,3.92
avvoltoio,7.88
scimmia,4.64
protetto,7.44
gola,4.04
kiwi,5.28
strillo,4.52
feccia,10.652173913043478
tamburo,4.84
religione,5.96
trappola,5.76
rivista,6.68
scapolo,12.44
acciaio,8.2
talento,8.2
drogato,9.0
musica,4.12
nuotare,5.28
principe,4.16
urina,7.16
valigia,5.88
biscia,5.76
fragranza,8.92
pannolino,4.2
vivo,4.68
uovo,4.52
leccare,5.16
scooter,7.08
cubo,6.36
festivo,7.52
ammirato,9.2
perdente,6.84
depresso,11.4
asma,10.04
insolente,9.6
insipido,8.4
corvo,5.92
coro,5.48
asparago,7.36
insurrezione,11.52
fiume,4.8
vedere,4.6
deridere,9.76
sommesso,9.391304347826088
pensiero,8.48
carne,4.44
satellite,10.8
puttana,9.76
bestemmia,8.24
ascensore,5.88
spina,6.0
dipendente,8.88
muffin,7.84
pianoforte,5.44
donna,4.36
tappeto,5.6
bouquet,9.291666666666666
prato,4.96
lavare,3.76
soddisfatto,7.6
opinione,8.64
sdegnoso,9.68
forchetta,3.64
indignazione,10.68
elegante,7.84
finito,4.875
grato,8.12
geranio,6.68
vuoto,4.72
gabbia,5.88
uccellino,2.76
camion,4.6
comprare,5.32
dirigibile,7.76
muffa,7.76
frittella,5.36
edicola,5.88
ferito,5.68
clima,8.2
causa,8.32
mandolino,7.84
falso,5.28
disegnare,4.04
cassettiera,5.92
spingere,4.88
inverno,4.8
scendere,4.76
stare,4.6
inno,7.56
possibilità,8.32
scatola,4.2
prete,5.12
comodino,4.92
tabacco,9.04
sintomo,8.72
vigoroso,9.68
mantenimento,11.4
potente,5.84
patente,9.2
violento,6.8
cadere,2.88
veleno,6.2
sangue,4.32
aver sonno,4.24
strada,4.92
ira,8.56
humor,12.8
perfezione,7.48
giardino,4.28
bacio,4.76
gattino,3.88
interesse,8.44
giustizia,8.84
scolorina,7.583333333333333
computer,6.4
mensola,5.96
balestra,9.590909090909092
benedire,7.24
genio,5.92
corona,4.68
nuovo,3.72
posta,6.28
carro,7.16
schifoso,6.32
morbillo,6.4
famoso,5.6
gioiello,5.56
pettine,4.72
melodia,7.0
rammaricato,10.24
pentola,4.72
cometa,6.64
aglio,5.84
rata,10.64
atleta,8.08
poltrona,4.08
diploma,9.52
malevolenza,10.8
delizia,7.52
frigido,12.0
melanzana,5.04
vittima,8.88
opzione,8.08
tramonto,5.8
rifiuto,5.583333333333333
cristallo,7.52
radio,5.72
sigaro,7.72
incidente,6.28
fagiolino,6.24
prendere,4.36
sbornia,13.0
imbuto,4.8
palude,7.8
intelletto,9.56
mare,3.72
maglione,4.68
pieno,4.56
jeans,5.8
accomodante,9.8
anatra,5.12
diluvio,6.08
ciuffo,5.36
narcotico,10.91304347826087
carota,4.56
incentivo,9.52
trattore,5.48
criminale,9.56
riverente,9.84
pompa,7.24
striscione,6.88
manichino,6.28
solitario,8.12
corpo,5.56
disperato,8.36
unghia,3.96
barbiere,5.76
terrificante,7.12
città,4.72
ghiacciaio,7.12
cicogna,4.36
carciofo,6.041666666666667
lite,6.12
dare,4.6
edera,7.56
margine,8.72
cinema,5.72
mobile,5.28
mandarino,4.72
furgone,6.0
aggressivo,8.32
disegno,3.64
litigio,4.48
tomba,7.04
diamante,6.92
pallottola,7.64
pasticcio,5.72
riparato,6.6
rispondere,3.88
carrozza,6.64
bussola,7.88
lebbra,10.12
cena,4.04
